empresa;nome;endereco;cidade;bairro;estado;cep;latitude;longitude;data_extracao
cobasi;Pet Shop Cobasi Osasco João Andrade;Av. João de Andrade;Osasco;;SP;06132-006;;;10/10/2025
cobasi;Pet Shop Cobasi POA Assis Brasil;Avenida Assis Brasil;Porto Alegre;;RS;91010-003;;;10/10/2025
cobasi;Pet Shop Cobasi POA Av. Brasil;Av. Brasil;Porto Alegre;;RS;90230-061;;;10/10/2025
cobasi;Pet Shop Cobasi POA Bollogna Mall;Avenida Coronel Marcos;Porto Alegre;;RS;91760-000;;;10/10/2025
cobasi;Pet Shop Cobasi POA Central Parque;Avenida Ipiranga;Porto Alegre;;RS;91530-000;;;10/10/2025
cobasi;Pet Shop Cobasi Palmas;Quadra ARNO 12 Alameda das Aroeiras;Palmas;;TO;77001-048;;;10/10/2025
cobasi;Pet Shop Cobasi Park Shopping Jacarepaguá;Park Shopping Jacarepaguá - Estr. de Jacarepaguá;Rio de Janeiro;;RJ;22753-045;;;10/10/2025
cobasi;Pet Shop Cobasi Parque Olímpico;Avenida Embaixador Abelardo Bueno;Rio de Janeiro;;RJ;22775-040;;;10/10/2025
cobasi;Pet Shop Cobasi Passo Fundo Shopping;Av. Presidente Vargas;Passo Fundo;;RS;99064-000;;;10/10/2025
cobasi;Pet Shop Cobasi Paulínia;Avenida Jose Paulino;Paulinia;;SP;13140-723;;;10/10/2025
cobasi;Pet Shop Cobasi Pelotas;Av. Ferreira Viana;Pelotas;;RS;96085-000;;;10/10/2025
cobasi;Pet Shop Cobasi Pinhais;Rua Primeiro de Maio;Pinhais;;PR;83323-020;;;10/10/2025
cobasi;Pet Shop Cobasi Piracicaba;Avenida Limeira (ao lado do shopping);Piracicaba;;SP;13414-018;;;10/10/2025
cobasi;Pet Shop Cobasi Piracicaba Independência;Avenida Independência;Piracicaba;;SP;13419-160;;;10/10/2025
cobasi;Pet Shop Cobasi Poa Wenceslau Escobar;Avenida Wenceslau Escobar;Porto Alegre;;RS;91900-000;;;10/10/2025
cobasi;Pet Shop Cobasi Pompéia;Rua Carlos Vicari;São Paulo;;SP;05033-070;;;10/10/2025
cobasi;Pet Shop Cobasi Ponta Grossa;Avenida Ernesto Vilela;Ponta Grossa;;PR;84070-000;;;10/10/2025
cobasi;Pet Shop Cobasi Ponta Grossa II;Rua Ermelino de Leao;Ponta Grossa;;PR;84035-000;;;10/10/2025
cobasi;Pet Shop Cobasi Portal do Morumbi;Av Dr Guilherme Dumont Vilares;São Paulo;;SP;05640-902;;;10/10/2025
cobasi;Pet Shop Cobasi Porto Alegre Iguatemi;Shopping Iguatemi - Av. João Wallig;Porto Alegre;;RS;91340-020;;;10/10/2025
cobasi;Pet Shop Cobasi Porto Alegre Ipiranga;Avenida Ipiranga;Porto Alegre;;RS;90610-001;;;10/10/2025
cobasi;Pet Shop Cobasi Praia Grande;Avenida Ayrton Senna da Silva;Praia Grande;;SP;11726-000;;;10/10/2025
cobasi;Pet Shop Cobasi Praia Grande Ocian;Av. Presidente Kennedy;Praia Grande;;SP;11704-105;;;10/10/2025
cobasi;Pet Shop Cobasi Praça da Árvore;Av Jabaquara;São Paulo;;SP;04046-000;;;10/10/2025
cobasi;Pet Shop Cobasi RJ Norte Shopping;Avenida Dom Helder Camara;Rio de Janeiro;;RJ;20771-900;;;10/10/2025
cobasi;Pet Shop Cobasi Raposo Tavares;Rod. Raposo Tavares;São Paulo;;SP;05576-000;;;10/10/2025
cobasi;Pet Shop Cobasi Rebouças;Av. Rebouças;São Paulo;;SP;05402-300;;;10/10/2025
cobasi;Pet Shop Cobasi Recife;Rua Padre Carapuceiro;Recife;;PE;50020-280;;;10/10/2025
cobasi;Pet Shop Cobasi Ribeirão Dom Pedro I;Av. Dom Pedro I;Ribeirão Preto;;SP;14055-630;;;10/10/2025
cobasi;Pet Shop Cobasi Ribeirão Preto II (loja Maurilio Biagi);Av. Maurílio Biagi;Ribeirão Preto;;SP;14020-750;;;10/10/2025
cobasi;Pet Shop Cobasi Ribeirão Preto Iguatemi;Av. Luis Eduardo Toledo Prado (loja 2107);Ribeirão Preto;;SP;14027-250;;;10/10/2025
cobasi;Pet Shop Cobasi Ribeirão Preto Presidente Vargas;Av. Presidente Vargas;Ribeirão Preto;;SP;14093-129;;;10/10/2025
cobasi;Pet Shop Cobasi Ricardo Jafet;Avenida Dr. Ricardo Jafet;São Paulo;;SP;04123-030;;;10/10/2025
cobasi;Pet Shop Cobasi Rio das Pedras;Rua Jorge Ogushi;São Paulo;;SP;03471-000;;;10/10/2025
cobasi;Pet Shop Cobasi Rio de Janeiro Campo Grande;ParkShopping Campo Grande – Estrada do Monteiro;Rio de Janeiro;;RJ;23045-830;;;10/10/2025
cobasi;Pet Shop Cobasi Rui Barbosa;Praça Rui Barbosa;Curitiba;;PR;80010-030;;;10/10/2025
cobasi;Pet Shop Cobasi SBC Faria Lima;Avenida Brigadeiro Faria Lima;São Bernardo do Campo;;SP;09720-000;;;10/10/2025
cobasi;Pet Shop Cobasi SP Ipiranga;Avenida Doutor Ricardo Jafet;São Paulo;;SP;04123-030;;;10/10/2025
cobasi;Pet Shop Cobasi Sabará;R. Moacir Simões da Rocha;São Paulo;;SP;04674-150;;;10/10/2025
cobasi;Pet Shop Cobasi Salto;Avenida José Maria Marques de Oliveira;Salto;;SP;13327-300;;;10/10/2025
cobasi;Pet Shop Cobasi Salvador Rio Vermelho;Av. Juracy Magalhães Júnior;Salvador;;BA;41940-060;;;10/10/2025
cobasi;Pet Shop Cobasi Santa Bárbara d’Oeste Tivoli;Rua do Osmio;Santa Bárbara d’Oeste;;SP;13456-625;;;10/10/2025
cobasi;Pet Shop Cobasi Santana;R. Voluntários da Pátria;São Paulo;;SP;02402-200;;;10/10/2025
cobasi;Pet Shop Cobasi Santo André Av. dos Estados;Avenida dos Estados;Santo André;;SP;09290-520;;;10/10/2025
cobasi;Pet Shop Cobasi Santo André P. Barreto;Praça Engenheiro Roldão dos Santos Ferreira;Santo André;;SP;09190-695;;;10/10/2025
cobasi;Pet Shop Cobasi Santo André Prestes Maia;Praça Uirapuru;Santo André;;SP;09071-220;;;10/10/2025
cobasi;Pet Shop Cobasi Santos Afonso Pena;Avenida Afonso Pena;Santos;;SP;11020-002;;;10/10/2025
cobasi;Pet Shop Cobasi Santos Conselheiro Nébias;Avenida Conselheiro Nébias;Santos;;SP;;;;10/10/2025
cobasi;Pet Shop Cobasi Santos Francisco Glicério;Avenida General Francisco Glicério;Santos;;SP;11065-400;;;10/10/2025
cobasi;Pet Shop Cobasi Sena Madureira;Rua Sena Madureira;São Paulo;;SP;04021-001;;;10/10/2025
cobasi;Pet Shop Cobasi Shop. Estação Cuiabá;Av. Miguel Sutil;Cuiabá;;MT;78040-365;;;10/10/2025
cobasi;Pet Shop Cobasi Shopping Aricanduva;Av. Aricanduva;São Paulo;;SP;03527-900;;;10/10/2025
cobasi;Pet Shop Cobasi Shopping Eldorado;Shopping Eldorado – Av. Rebouças;São Paulo;;SP;05402-600;;;10/10/2025
cobasi;Pet Shop Cobasi Sorocaba Av. São Paulo;Rua Antonio Fernandes;Sorocaba;;SP;;;;10/10/2025
cobasi;Pet Shop Cobasi Sorocaba Itavuvu;Av. Itavuvu;Sorocaba;;SP;18076-005;;;10/10/2025
cobasi;Pet Shop Cobasi Sorocaba Pannunzio;Av. Dr. Armando Pannunzio;Sorocaba;;SP;18050-000;;;10/10/2025
cobasi;Pet Shop Cobasi Sorocaba Panorâmico;Rodovia Raposo Tavares;Sorocaba;;SP;18030-005;;;10/10/2025
cobasi;Pet Shop Cobasi Sumaré;Av. Sumaré;São Paulo;;SP;05016-090;;;10/10/2025
cobasi;Pet Shop Cobasi Sumaré ParkCity Shopping;Av. Rebouças;Sumaré;;SP;13171-065;;;10/10/2025
cobasi;Pet Shop Cobasi São Bernardo Jurubatuba;Rua Jurubatuba;São Bernardo do Campo;;SP;09725-001;;;10/10/2025
cobasi;Pet Shop Cobasi São Caetano;Alameda Caulim;São Caetano do Sul;;SP;09530-200;;;10/10/2025
